kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag
8620402,K03267.01,Kepler-1913 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,14.1959621,1.2E-4,-1.2E-4,137.01221,0.00649,-0.00649,0.786,0.177,-0.563,3.605,0.208,-0.208,196.2,16.5,-16.5,1.66,0.54,-0.18,818.0,,,105.7,104.07,-33.36,14.1,1,q1_q17_dr25_tce,6214.0,186.0,-224.0,4.442,0.054,-0.216,1.076,0.353,-0.118,290.21667,44.779678,14.706
7285757,K03271.01,Kepler-1986 b,CONFIRMED,CANDIDATE,0.963,0,0,0,0,19.5489666,1.396E-4,-1.396E-4,149.78882,0.00432,-0.00432,0.83,0.001,-0.585,1.78,0.181,-0.181,523.8,49.7,-49.7,1.89,0.35,-0.15,579.0,,,26.62,15.5,-6.65,12.6,1,q1_q17_dr25_tce,5549.0,163.0,-163.0,4.6,0.045,-0.113,0.732,0.137,-0.059,292.95819,42.854889,15.717
5280587,K03274.01,Kepler-1451 b,CONFIRMED,CANDIDATE,0.997,0,0,0,0,35.6225528,5.427E-4,-5.427E-4,141.4514,0.0129,-0.0129,0.261,0.203,-0.261,4.845,0.403,-0.403,651.1,78.8,-78.8,2.24,0.59,-0.2,523.0,,,17.67,13.71,-4.66,9.6,1,q1_q17_dr25_tce,5799.0,157.0,-175.0,4.539,0.044,-0.187,0.878,0.231,-0.077,293.44644,40.409889,15.332
4138008,K04742.01,Kepler-442 b,CONFIRMED,CANDIDATE,0.993,0,0,0,0,112.303136,0.001722,-0.001722,230.4383,0.0125,-0.0125,0.248,0.191,-0.248,5.869,0.362,-0.362,502.1,44.1,-44.1,1.3,0.07,-0.05,241.0,,,0.79,0.15,-0.11,13.1,1,q1_q17_dr25_tce,4401.0,78.0,-78.0,4.677,0.017,-0.027,0.595,0.03,-0.024,285.36658,39.280079,14.976
3120904,K03277.01,Kepler-1452 b,CONFIRMED,CANDIDATE,0.994,0,0,0,0,42.9136635,3.306E-4,-3.306E-4,139.88848,0.00659,-0.00659,0.403,0.041,-0.403,5.227,0.166,-0.166,160.6,10.1,-10.1,3.19,0.38,-0.83,810.0,,,101.56,36.45,-50.4,18.2,1,q1_q17_dr25_tce,6049.0,121.0,-121.0,3.8,0.21,-0.07,2.483,0.299,-0.648,292.42282,38.266331,13.062
11757451,K04745.01,Kepler-443 b,CONFIRMED,CANDIDATE,0.877,0,0,0,0,177.668663,0.003315,-0.003315,264.2428,0.0134,-0.0134,0.772,0.175,-0.53,9.298,0.463,-0.463,901.4,81.0,-81.0,2.32,0.13,-0.09,233.0,,,0.7,0.13,-0.1,12.7,1,q1_q17_dr25_tce,4721.0,75.0,-85.0,4.615,0.021,-0.036,0.701,0.039,-0.029,288.61053,49.968632,15.891
8047428,K04747.01,Kepler-1621 b,CONFIRMED,CANDIDATE,0.98,0,0,0,0,92.263742,0.002649,-0.002649,146.4247,0.0267,-0.0267,0.273,0.177,-0.272,8.605,0.725,-0.725,296.9,28.1,-28.1,2.22,0.4,-0.3,469.0,,,11.42,5.33,-3.37,12.2,1,q1_q17_dr25_tce,6084.0,81.0,-90.0,4.287,0.099,-0.121,1.283,0.23,-0.173,297.5885,43.841221,15.015
11513486,K04748.01,Kepler-1969 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,6.64754478,4.141E-5,-4.141E-5,137.13371,0.00517,-0.00517,0.235,0.213,-0.235,1.961,0.143,-0.143,289.3,28.1,-28.1,1.72,0.54,-0.18,999.0,,,235.89,226.31,-72.06,12.4,1,q1_q17_dr25_tce,6046.0,190.0,-211.0,4.478,0.054,-0.216,1.007,0.318,-0.106,294.78433,49.4921,15.724
11189311,K03220.01,Kepler-1442 b,CONFIRMED,CANDIDATE,0.899,0,0,0,0,81.4160138,4.882E-4,-4.882E-4,160.86387,0.00515,-0.00515,0.911,0.045,-0.531,14.175,0.764,-0.764,762.3,16.1,-16.1,4.63,0.87,-0.44,522.0,,,17.53,9.01,-4.37,54.3,1,q1_q17_dr25_tce,6352.0,113.0,-139.0,4.267,0.063,-0.117,1.401,0.263,-0.132,291.25562,48.846924,12.146
3544640,K03279.01,Kepler-1914 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,30.8278245,3.158E-4,-3.158E-4,143.1448,0.00784,-0.00784,0.023,0.426,-0.022,4.214,0.215,-0.215,641.3,52.1,-52.1,2.42,0.68,-0.27,585.0,,,27.66,23.77,-9.06,13.9,1,q1_q17_dr25_tce,5982.0,189.0,-232.0,4.493,0.048,-0.192,0.96,0.27,-0.108,291.43143,38.654388,15.765
10653179,K03280.01,Kepler-1453 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,47.1607932,4.362E-4,-4.362E-4,150.25797,0.00699,-0.00699,0.028,0.426,-0.028,4.003,0.231,-0.231,723.2,61.7,-61.7,2.58,0.67,-0.28,503.0,,,15.07,11.47,-4.63,13.6,1,q1_q17_dr25_tce,5936.0,158.0,-193.0,4.501,0.046,-0.184,0.965,0.25,-0.107,286.12555,47.947609,15.57
12066569,K03282.01,Kepler-1455 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,49.2768448,3.357E-4,-3.357E-4,157.02073,0.00515,-0.00515,0.022,0.419,-0.022,3.787,0.171,-0.171,1132.9,73.0,-73.0,1.75,0.09,-0.13,271.0,,,1.28,0.26,-0.26,17.8,1,q1_q17_dr25_tce,3899.0,78.0,-78.0,4.713,0.039,-0.021,0.529,0.028,-0.038,294.08307,50.502769,15.855
6497146,K03284.01,Kepler-438 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,35.2330694,2.705E-4,-2.705E-4,135.36477,0.00637,-0.00637,0.139,0.323,-0.139,3.674,0.215,-0.215,352.8,27.5,-27.5,0.97,0.06,-0.07,288.0,,,1.62,0.37,-0.34,14.5,1,q1_q17_dr25_tce,3749.0,75.0,-84.0,4.743,0.033,-0.033,0.524,0.033,-0.037,281.64581,41.951092,14.467
