id_estrella,clasificacion,periodo_orbital,duracion_transito,profundidad_transito,radio_planeta,indice_probabilidad_planeta,equilibrio_temperatura,radio_estrella,probabilidad_planeta
7051180,CANDIDATE,1.951082219,1.6975,1151.8,10.35,1.0,2005.0,2.426,ALTO
2446113,CANDIDATE,23.1375919,3.35,114.0,1.83,1.0,837.0,1.683,ALTO
5903749,CANDIDATE,18.9763286,2.379,329.8,2.24,1.0,638.0,0.986,ALTO
8581240,CANDIDATE,10.76800074,3.494,65.1,0.92,1.0,885.0,1.096,ALTO
8554498,CANDIDATE,4.780327581,2.0253,960.8,7.14,1.0,1441.0,1.787,ALTO
2973386,CANDIDATE,31.0209175,2.012,859.5,1.66,1.0,291.0,0.48,ALTO
9834731,CANDIDATE,3.08942807,3.214,85.3,1.07,1.0,1361.0,1.103,ALTO
4252322,CANDIDATE,14.591504451,1.1295,1490.5,36.85,1.0,879.0,1.312,ALTO
4770174,CANDIDATE,6.09595681,5.502,65.7,1.26,1.0,1259.0,1.467,ALTO
4676964,CANDIDATE,43.1024434,7.124,299.8,1.88,1.0,539.0,1.097,ALTO
11566064,CANDIDATE,152.1060435,7.4517,3688.3,11.58,1.0,458.0,1.64,ALTO
10000941,CANDIDATE,2.5738437,1.92,46.6,0.57,1.0,1129.0,0.854,ALTO
8265218,CANDIDATE,12.82993461,2.942,1417.4,3.31,1.0,734.0,0.844,ALTO
10016874,CANDIDATE,16.30141333,3.5764,942.3,3.84,1.0,805.0,1.138,ALTO
10395543,CANDIDATE,3.687469832,1.0668,5057.6,5.78,1.0,690.0,0.606,ALTO
5443837,CANDIDATE,3.65849707,2.573,4398.0,14.61,1.0,1583.0,1.822,ALTO
2832589,CANDIDATE,2.433703498,0.975,258.3,1.66,1.0,1112.0,0.778,ALTO
7199397,CANDIDATE,105.8817667,18.044,1556.3,10.16,1.0,595.0,2.499,ALTO
9703198,CANDIDATE,10.32906563,1.44,2309.8,6.17,1.0,908.0,1.049,ALTO
10221013,CANDIDATE,7.189379172,2.0351,8126.4,11.94,1.0,1026.0,1.076,ALTO
7630229,CANDIDATE,278.1243979,3.978,2297.8,5.86,1.0,286.0,1.05,ALTO
7730747,CANDIDATE,4.034914368,1.7874,800.1,6.95,1.0,1452.0,1.793,ALTO
7976520,CANDIDATE,4.17838675,2.123,316.0,3.13,1.0,1430.0,1.687,ALTO
4055765,CANDIDATE,9.9664004,5.0127,1619.0,16.89,1.0,1578.0,3.079,ALTO
5131180,CANDIDATE,14.85185526,3.5263,1341.0,2.73,1.0,457.0,0.652,ALTO
10287242,CANDIDATE,22.34213536,6.461,2264.4,5.19,1.0,526.0,0.707,ALTO
5441980,CANDIDATE,5.89399142,1.2737,10993.0,11.16,1.0,940.0,0.893,ALTO
6309763,CANDIDATE,3.251659087,1.5286,4747.9,9.83,1.0,1384.0,1.087,ALTO
9846348,CANDIDATE,26.89316101,2.3266,2193.2,6.78,1.0,614.0,0.908,ALTO
12417486,CANDIDATE,155.042265,9.848,4880.9,26.44,1.0,511.0,3.322,ALTO
3103212,CANDIDATE,3.25424652,5.378,82.1,0.96,1.0,1220.0,1.004,ALTO
7449554,CANDIDATE,15.9042402,2.093,444.8,3.79,1.0,863.0,1.53,ALTO
6140059,CANDIDATE,44.6226725,12.974,131.9,1.73,1.0,613.0,1.239,ALTO
11970988,CANDIDATE,2.31482311,2.127,58.6,0.69,1.0,1237.0,0.923,ALTO
6792908,CANDIDATE,10.778313,5.256,90.7,1.25,1.0,1067.0,1.258,ALTO
6350882,CANDIDATE,5.04404366,1.682,236.5,1.47,1.0,1078.0,0.951,ALTO
9456281,CANDIDATE,0.701944362,0.641,210.8,0.8,1.0,1227.0,0.539,ALTO
7918478,CANDIDATE,9.9092109,2.552,942.0,2.35,1.0,693.0,0.702,ALTO
4571844,CANDIDATE,17.8075656,1.643,1511.0,3.92,1.0,742.0,0.981,ALTO
7582691,CANDIDATE,0.259819659,0.6513,231.5,1.22,1.0,1559.0,0.526,ALTO
1724719,CANDIDATE,10.0989634,6.428,57.0,1.03,1.0,1016.0,1.318,ALTO
11081504,CANDIDATE,13.12297275,2.234,43.7,1.29,1.0,1030.0,1.665,ALTO
3550372,CANDIDATE,0.681180633,0.8844,156.4,2.97,1.0,2782.0,2.377,ALTO
10991114,CANDIDATE,3.70386741,1.41,125.7,0.86,1.0,1012.0,0.776,ALTO
5197233,CANDIDATE,7.016016,3.8,169.0,1.72,1.0,1138.0,1.136,ALTO
8741470,CANDIDATE,6.23968392,0.668,155.9,1.55,1.0,1060.0,1.143,ALTO
8330207,CANDIDATE,1.63668262,1.907,921.7,103.99,1.0,2562.0,3.739,ALTO
4054784,CANDIDATE,1.8679943,1.087,73.4,0.7,1.0,1291.0,0.815,ALTO
8396660,CANDIDATE,1.33807075,1.425,20.2,0.6,1.0,2008.0,1.319,ALTO
10467714,CANDIDATE,58.7488629,3.191,473.6,1.75,1.0,425.0,0.805,ALTO
9457948,CANDIDATE,19.2527652,4.862,138.5,1.24,1.0,740.0,1.046,ALTO
7834045,CANDIDATE,44.6966177,10.532,257.3,2.46,1.0,637.0,1.518,ALTO
7891294,CANDIDATE,3.07714195,3.571,34.2,1.08,1.0,1493.0,1.336,ALTO
9413156,CANDIDATE,3.83488354,2.026,243.0,1.2,1.0,1003.0,0.775,ALTO
5954001,CANDIDATE,11.6933447,6.551,66.9,1.12,1.0,950.0,1.354,ALTO
5552562,CANDIDATE,5.93218209,4.507,205.3,1.39,1.0,1000.0,0.977,ALTO
4073017,CANDIDATE,6.05552018,2.818,134.6,0.92,1.0,844.0,0.805,ALTO
9579208,CANDIDATE,4.11754421,4.362,34.3,1.02,1.0,1581.0,1.726,ALTO
9773270,CANDIDATE,122.749053,8.342,1041.2,6.13,1.0,348.0,0.976,ALTO
12645057,CANDIDATE,6.83006228,3.315,187.4,1.09,1.0,882.0,0.8,ALTO
10937749,CANDIDATE,5.19898615,2.359,136.8,1.04,1.0,1035.0,0.867,ALTO
8443527,CANDIDATE,22.599501,4.38,76.9,0.96,1.0,734.0,1.087,ALTO
